repo,username,type,name,timestamp,additions,deletions,total,message,userURL,repoURL
balanced-dashboard,daliwali,1,Dali Zheng,2013-10-18T22:25:58Z,71,52800,52871,use bower,https://github.com/daliwali,https://github.com/balanced/balanced-dashboard
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-09-19T22:08:05Z,21875,18138,40013,"Merge pull request #619 from kleinsch/upgrade-to-1.0

Upgrade to EmberJS 1.0",https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
balanced-docs,matthewfl,1,Matthew Francis-Landau,2013-07-25T01:40:42Z,22319,13081,35400,"Merge remote-tracking branch 'origin/master' into deletes

Conflicts:
    spec/src/resources/cards.rst",https://github.com/matthewfl,https://github.com/balanced/balanced-docs
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-09-18T23:06:34Z,19172,15548,34720,Upgrade ember version,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-10-01T19:22:30Z,19277,15395,34672,Merge formatting changes,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
balanced-dashboard,kleinsch,1,Nick Kleinschmidt,2013-09-30T23:19:07Z,19111,15229,34340,Reformat using jsbeautify,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
balanced-docs,matthewfl,1,Matthew Francis-Landau,2013-07-03T20:11:46Z,21535,11619,33154,change dockers connection to work with revisions,https://github.com/matthewfl,https://github.com/balanced/balanced-docs
balanced-docs,matthewfl,1,Matthew Francis-Landau,2013-07-09T23:44:21Z,20486,11749,32235,fixed to build with latest balanced.json,https://github.com/matthewfl,https://github.com/balanced/balanced-docs
balanced-docs,cieplak,1,Patrick Cieplak,2013-07-18T21:14:10Z,19867,11692,31559,balanced.json,https://github.com/cieplak,https://github.com/balanced/balanced-docs
balanced-docs,cieplak,1,Patrick Cieplak,2013-07-18T21:43:11Z,11466,19641,31107,json,https://github.com/cieplak,https://github.com/balanced/balanced-docs
www.balancedpayments.com,matthewfl,1,Matthew Francis-Landau,2013-06-07T00:26:56Z,29573,0,29573,redoing init,https://github.com/matthewfl,https://github.com/balanced/www.balancedpayments.com
balanced-dashboard,External,-1,Ryan Loomba,2013-05-08T18:25:13Z,5004,21504,26508,Merge remote-tracking branch 'upstream/master' into add-license-file,https://github.com/rloomba,https://github.com/balanced/balanced-dashboard
small-projects,External,-1,Ryan Loomba,2013-05-23T22:24:46Z,25739,3,25742,initial commit,https://github.com/rloomba,https://github.com/balanced/
small-projects,External,-1,Scott Goci,2013-08-07T05:11:41Z,219,21678,21897,Updated rails app to somewhat conform with a working app,https://github.com/scouttyg,https://github.com/balanced/
balanced-dashboard,daliwali,1,Dali Zheng,2013-11-07T02:30:04Z,2515,16154,18669,pass apply and invoices tests,https://github.com/kleinsch,https://github.com/balanced/balanced-dashboard
